areaId,areaName,observedAt,riskScore,ruleConcernLevel,targetElevatedConcern,labelSource,rainfallLatestMm,rainfall1hMm,rainfall3hMm,rainfall24hMm,rainfall72hMm,antecedentWetnessMm,antecedentRainfallIndex,riverLatestM,riverDelta1hM,riverDelta3hM,riverTrendCode,rateOfRiseMPerHour,dataFreshnessScore,sourceCoverage,decisionReliabilityScore,confidence,warningActive,warningStatus,areaRelevanceScore,nearestStationDistanceKm
north-parramatta,"North Parramatta, NSW",2026-06-24T16:34:43.484Z,9,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0.2
toongabbie,"Toongabbie, NSW",2026-06-24T16:34:43.484Z,15,Low,0,rule_derived,0,0,0,0,0,0,,0.34,,,,,0,0,66,38,,,100,0.6
parramatta,"Parramatta, NSW",2026-06-24T16:34:53.486Z,11,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0
north-parramatta,"North Parramatta, NSW",2026-06-24T16:34:53.486Z,9,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0.2
toongabbie,"Toongabbie, NSW",2026-06-24T16:34:53.486Z,15,Low,0,rule_derived,0,0,0,0,0,0,,0.34,,,,,0,0,66,38,,,100,0.6
parramatta,"Parramatta, NSW",2026-06-24T16:34:58.487Z,11,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0
north-parramatta,"North Parramatta, NSW",2026-06-24T16:34:58.487Z,9,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0.2
toongabbie,"Toongabbie, NSW",2026-06-24T16:34:58.487Z,15,Low,0,rule_derived,0,0,0,0,0,0,,0.34,,,,,0,0,66,38,,,100,0.6
parramatta,"Parramatta, NSW",2026-06-24T16:35:54.484Z,11,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0
north-parramatta,"North Parramatta, NSW",2026-06-24T16:35:54.484Z,9,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0.2
toongabbie,"Toongabbie, NSW",2026-06-24T16:35:54.484Z,15,Low,0,rule_derived,0,0,0,0,0,0,,0.34,,,,,0,0,66,38,,,100,0.6
parramatta,"Parramatta, NSW",2026-06-24T16:35:58.488Z,11,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0
north-parramatta,"North Parramatta, NSW",2026-06-24T16:35:58.488Z,9,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0.2
toongabbie,"Toongabbie, NSW",2026-06-24T16:35:58.488Z,15,Low,0,rule_derived,0,0,0,0,0,0,,0.34,,,,,0,0,66,38,,,100,0.6
parramatta,"Parramatta, NSW",2026-06-24T16:35:58.568Z,11,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0
north-parramatta,"North Parramatta, NSW",2026-06-24T16:35:58.568Z,9,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0.2
toongabbie,"Toongabbie, NSW",2026-06-24T16:35:58.568Z,15,Low,0,rule_derived,0,0,0,0,0,0,,0.34,,,,,0,0,66,38,,,100,0.6
parramatta,"Parramatta, NSW",2026-06-24T16:36:55.483Z,11,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0
north-parramatta,"North Parramatta, NSW",2026-06-24T16:36:55.483Z,9,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0.2
toongabbie,"Toongabbie, NSW",2026-06-24T16:36:55.483Z,15,Low,0,rule_derived,0,0,0,0,0,0,,0.34,,,,,0,0,66,38,,,100,0.6
parramatta,"Parramatta, NSW",2026-06-24T16:36:58.485Z,11,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0
north-parramatta,"North Parramatta, NSW",2026-06-24T16:36:58.485Z,9,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0.2
toongabbie,"Toongabbie, NSW",2026-06-24T16:36:58.485Z,15,Low,0,rule_derived,0,0,0,0,0,0,,0.34,,,,,0,0,66,38,,,100,0.6
parramatta,"Parramatta, NSW",2026-06-24T16:36:58.589Z,11,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0
north-parramatta,"North Parramatta, NSW",2026-06-24T16:36:58.589Z,9,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0.2
toongabbie,"Toongabbie, NSW",2026-06-24T16:36:58.589Z,15,Low,0,rule_derived,0,0,0,0,0,0,,0.34,,,,,0,0,66,38,,,100,0.6
parramatta,"Parramatta, NSW",2026-06-24T16:37:56.480Z,11,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0
north-parramatta,"North Parramatta, NSW",2026-06-24T16:37:56.480Z,9,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0.2
toongabbie,"Toongabbie, NSW",2026-06-24T16:37:56.480Z,15,Low,0,rule_derived,0,0,0,0,0,0,,0.34,,,,,0,0,66,38,,,100,0.6
parramatta,"Parramatta, NSW",2026-06-24T16:37:58.481Z,11,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0
north-parramatta,"North Parramatta, NSW",2026-06-24T16:37:58.481Z,9,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0.2
toongabbie,"Toongabbie, NSW",2026-06-24T16:37:58.481Z,15,Low,0,rule_derived,0,0,0,0,0,0,,0.34,,,,,0,0,66,38,,,100,0.6
parramatta,"Parramatta, NSW",2026-06-24T16:37:58.532Z,11,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0
north-parramatta,"North Parramatta, NSW",2026-06-24T16:37:58.532Z,9,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0.2
toongabbie,"Toongabbie, NSW",2026-06-24T16:37:58.532Z,15,Low,0,rule_derived,0,0,0,0,0,0,,0.34,,,,,0,0,66,38,,,100,0.6
parramatta,"Parramatta, NSW",2026-06-24T16:38:57.480Z,11,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0
north-parramatta,"North Parramatta, NSW",2026-06-24T16:38:57.480Z,9,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0.2
toongabbie,"Toongabbie, NSW",2026-06-24T16:38:57.480Z,15,Low,0,rule_derived,0,0,0,0,0,0,,0.34,,,,,0,0,66,38,,,100,0.6
parramatta,"Parramatta, NSW",2026-06-24T16:38:58.483Z,11,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0
north-parramatta,"North Parramatta, NSW",2026-06-24T16:38:58.483Z,9,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0.2
toongabbie,"Toongabbie, NSW",2026-06-24T16:38:58.483Z,15,Low,0,rule_derived,0,0,0,0,0,0,,0.34,,,,,0,0,66,38,,,100,0.6
parramatta,"Parramatta, NSW",2026-06-24T16:38:58.623Z,11,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0
north-parramatta,"North Parramatta, NSW",2026-06-24T16:38:58.623Z,9,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0.2
toongabbie,"Toongabbie, NSW",2026-06-24T16:38:58.623Z,15,Low,0,rule_derived,0,0,0,0,0,0,,0.34,,,,,0,0,66,38,,,100,0.6
parramatta,"Parramatta, NSW",2026-06-24T16:39:54.665Z,11,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0
north-parramatta,"North Parramatta, NSW",2026-06-24T16:39:54.665Z,9,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0.2
toongabbie,"Toongabbie, NSW",2026-06-24T16:39:54.665Z,15,Low,0,rule_derived,0,0,0,0,0,0,,0.34,,,,,0,0,66,38,,,100,0.6
parramatta,"Parramatta, NSW",2026-06-24T16:39:58.482Z,11,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0
north-parramatta,"North Parramatta, NSW",2026-06-24T16:39:58.482Z,9,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0.2
toongabbie,"Toongabbie, NSW",2026-06-24T16:39:58.482Z,15,Low,0,rule_derived,0,0,0,0,0,0,,0.34,,,,,0,0,66,38,,,100,0.6
parramatta,"Parramatta, NSW",2026-06-24T16:39:58.484Z,11,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0
north-parramatta,"North Parramatta, NSW",2026-06-24T16:39:58.484Z,9,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0.2
toongabbie,"Toongabbie, NSW",2026-06-24T16:39:58.484Z,15,Low,0,rule_derived,0,0,0,0,0,0,,0.34,,,,,0,0,66,38,,,100,0.6
parramatta,"Parramatta, NSW",2026-06-24T16:40:12.490Z,11,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0
north-parramatta,"North Parramatta, NSW",2026-06-24T16:40:12.490Z,9,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0.2
toongabbie,"Toongabbie, NSW",2026-06-24T16:40:12.490Z,15,Low,0,rule_derived,0,0,0,0,0,0,,0.34,,,,,0,0,66,38,,,100,0.6
parramatta,"Parramatta, NSW",2026-06-24T16:40:58.481Z,11,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0
north-parramatta,"North Parramatta, NSW",2026-06-24T16:40:58.481Z,9,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0.2
toongabbie,"Toongabbie, NSW",2026-06-24T16:40:58.481Z,15,Low,0,rule_derived,0,0,0,0,0,0,,0.34,,,,,0,0,66,38,,,100,0.6
parramatta,"Parramatta, NSW",2026-06-24T16:40:58.484Z,11,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0
north-parramatta,"North Parramatta, NSW",2026-06-24T16:40:58.484Z,9,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0.2
toongabbie,"Toongabbie, NSW",2026-06-24T16:40:58.484Z,15,Low,0,rule_derived,0,0,0,0,0,0,,0.34,,,,,0,0,66,38,,,100,0.6
parramatta,"Parramatta, NSW",2026-06-24T16:41:12.488Z,11,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0
north-parramatta,"North Parramatta, NSW",2026-06-24T16:41:12.488Z,9,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0.2
toongabbie,"Toongabbie, NSW",2026-06-24T16:41:12.488Z,15,Low,0,rule_derived,0,0,0,0,0,0,,0.34,,,,,0,0,66,38,,,100,0.6
parramatta,"Parramatta, NSW",2026-06-24T16:41:58.478Z,11,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0
north-parramatta,"North Parramatta, NSW",2026-06-24T16:41:58.478Z,9,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0.2
toongabbie,"Toongabbie, NSW",2026-06-24T16:41:58.478Z,15,Low,0,rule_derived,0,0,0,0,0,0,,0.34,,,,,0,0,66,38,,,100,0.6
parramatta,"Parramatta, NSW",2026-06-24T16:41:58.482Z,11,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0
north-parramatta,"North Parramatta, NSW",2026-06-24T16:41:58.482Z,9,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0.2
toongabbie,"Toongabbie, NSW",2026-06-24T16:41:58.482Z,15,Low,0,rule_derived,0,0,0,0,0,0,,0.34,,,,,0,0,66,38,,,100,0.6
parramatta,"Parramatta, NSW",2026-06-24T16:42:12.486Z,11,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0
north-parramatta,"North Parramatta, NSW",2026-06-24T16:42:12.486Z,9,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0.2
toongabbie,"Toongabbie, NSW",2026-06-24T16:42:12.486Z,15,Low,0,rule_derived,0,0,0,0,0,0,,0.34,,,,,0,0,66,38,,,100,0.6
parramatta,"Parramatta, NSW",2026-06-24T16:42:58.474Z,11,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0
north-parramatta,"North Parramatta, NSW",2026-06-24T16:42:58.474Z,9,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0.2
toongabbie,"Toongabbie, NSW",2026-06-24T16:42:58.474Z,15,Low,0,rule_derived,0,0,0,0,0,0,,0.34,,,,,0,0,66,38,,,100,0.6
parramatta,"Parramatta, NSW",2026-06-24T16:42:58.476Z,11,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0
north-parramatta,"North Parramatta, NSW",2026-06-24T16:42:58.476Z,9,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0.2
toongabbie,"Toongabbie, NSW",2026-06-24T16:42:58.476Z,15,Low,0,rule_derived,0,0,0,0,0,0,,0.34,,,,,0,0,66,38,,,100,0.6
parramatta,"Parramatta, NSW",2026-06-24T16:43:13.476Z,11,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0
north-parramatta,"North Parramatta, NSW",2026-06-24T16:43:13.476Z,9,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0.2
toongabbie,"Toongabbie, NSW",2026-06-24T16:43:13.476Z,15,Low,0,rule_derived,0,0,0,0,0,0,,0.34,,,,,0,0,66,38,,,100,0.6
parramatta,"Parramatta, NSW",2026-06-24T16:43:58.477Z,11,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0
north-parramatta,"North Parramatta, NSW",2026-06-24T16:43:58.477Z,9,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0.2
toongabbie,"Toongabbie, NSW",2026-06-24T16:43:58.477Z,15,Low,0,rule_derived,0,0,0,0,0,0,,0.34,,,,,0,0,66,38,,,100,0.6
parramatta,"Parramatta, NSW",2026-06-24T16:43:58.481Z,11,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0
north-parramatta,"North Parramatta, NSW",2026-06-24T16:43:58.481Z,9,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0.2
toongabbie,"Toongabbie, NSW",2026-06-24T16:43:58.481Z,15,Low,0,rule_derived,0,0,0,0,0,0,,0.34,,,,,0,0,66,38,,,100,0.6
parramatta,"Parramatta, NSW",2026-06-24T16:44:12.484Z,11,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0
north-parramatta,"North Parramatta, NSW",2026-06-24T16:44:12.484Z,9,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0.2
toongabbie,"Toongabbie, NSW",2026-06-24T16:44:12.484Z,15,Low,0,rule_derived,0,0,0,0,0,0,,0.34,,,,,0,0,66,38,,,100,0.6
parramatta,"Parramatta, NSW",2026-06-24T16:44:58.474Z,11,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0
north-parramatta,"North Parramatta, NSW",2026-06-24T16:44:58.474Z,9,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0.2
toongabbie,"Toongabbie, NSW",2026-06-24T16:44:58.474Z,15,Low,0,rule_derived,0,0,0,0,0,0,,0.34,,,,,0,0,66,38,,,100,0.6
parramatta,"Parramatta, NSW",2026-06-24T16:44:58.477Z,11,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0
north-parramatta,"North Parramatta, NSW",2026-06-24T16:44:58.477Z,9,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0.2
toongabbie,"Toongabbie, NSW",2026-06-24T16:44:58.477Z,15,Low,0,rule_derived,0,0,0,0,0,0,,0.34,,,,,0,0,66,38,,,100,0.6
parramatta,"Parramatta, NSW",2026-06-24T16:45:12.482Z,11,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0
north-parramatta,"North Parramatta, NSW",2026-06-24T16:45:12.482Z,9,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0.2
toongabbie,"Toongabbie, NSW",2026-06-24T16:45:12.482Z,15,Low,0,rule_derived,0,0,0,0,0,0,,0.34,,,,,0,0,66,38,,,100,0.6
parramatta,"Parramatta, NSW",2026-06-24T16:45:58.474Z,11,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0
north-parramatta,"North Parramatta, NSW",2026-06-24T16:45:58.474Z,9,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0.2
toongabbie,"Toongabbie, NSW",2026-06-24T16:45:58.474Z,15,Low,0,rule_derived,0,0,0,0,0,0,,0.34,,,,,0,0,66,38,,,100,0.6
parramatta,"Parramatta, NSW",2026-06-24T16:45:58.477Z,11,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0
north-parramatta,"North Parramatta, NSW",2026-06-24T16:45:58.477Z,9,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0.2
